City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atar,20.5169,-13.0499,79.48,44,89,2.28,MR,1635451744
Kavieng,-2.5744,150.7967,82.63,75,77,9.64,PG,1635451744
Alenquer,-1.9417,-54.7383,88.14,50,100,5.57,BR,1635451745
Hilo,19.7297,-155.09,82.13,64,1,0,US,1635451745
Hithadhoo,-0.6,73.0833,83.07,75,100,14.36,MV,1635451746
Marsh Harbour,26.5412,-77.0636,83.68,70,85,14.18,BS,1635451746
Mataura,-46.1927,168.8643,55.69,80,18,1.66,NZ,1635451746
Aloleng,16.1307,119.7824,78.3,77,86,8.12,PH,1635451747
Alofi,-19.0595,-169.9187,78.69,69,75,11.5,NU,1635451747
Nanortalik,60.1432,-45.2371,36.32,71,79,4.5,GL,1635451747
Bengkulu,-3.8004,102.2655,77.14,85,100,2.37,ID,1635451748
Vardø,70.3705,31.1107,31.98,93,75,34.52,NO,1635451748
Kaitangata,-46.2817,169.8464,55.56,81,65,4.36,NZ,1635451748
Chui,-33.6971,-53.4616,73.98,60,0,11.23,UY,1635451749
Provideniya,64.3833,-173.3,15.91,73,90,8.95,RU,1635451749
Rincon,32.296,-81.2354,73.85,96,90,1.01,US,1635451750
Jamestown,42.097,-79.2353,64.53,61,1,3,US,1635451506
Rawson,-43.3002,-65.1023,66.61,45,11,9.82,AR,1635451697
Port Alfred,-33.5906,26.891,67.23,96,100,0.76,ZA,1635451750
Stokmarknes,68.5646,14.9108,47.5,81,75,5.75,NO,1635451751
Avarua,-21.2078,-159.775,75.25,73,20,12.66,CK,1635451751
Yellowknife,62.456,-114.3525,36.41,99,90,2.3,CA,1635451636
Albany,42.6001,-73.9662,60.67,72,0,3,US,1635452051
Bay Village,41.4848,-81.9221,65.84,73,40,1.01,US,1635451726
Hong Kong,22.2855,114.1577,78.33,86,78,3,HK,1635451541
Bereda,43.2686,-7.5406,57,95,100,9.62,ES,1635451752
Vaini,-21.2,-175.2,77.16,83,75,8.05,TO,1635451752
Sur,22.5667,59.5289,77.95,66,0,3.02,OM,1635451753
Vila Franca do Campo,37.7167,-25.4333,66.61,89,100,7.14,PT,1635451753
Conde,-7.2597,-34.9075,80.06,69,20,17.27,BR,1635451753
Nikolskoye,59.7035,30.7861,46.87,87,100,9.48,RU,1635451754
Truckee,39.328,-120.1833,64.17,83,1,0,US,1635451754
Yārāda,17.65,83.2667,79.83,76,80,12.08,IN,1635451754
Ribeira Grande,38.5167,-28.7,70.2,88,40,10.36,PT,1635451755
Airai,-8.9266,125.4092,61.61,85,97,1.95,TL,1635451755
Saint-Philippe,-21.3585,55.7679,72.99,79,2,8.01,RE,1635451755
Bud,39.447,-86.1758,53.91,97,100,11.83,US,1635451756
Upernavik,72.7868,-56.1549,19.65,58,95,4.32,GL,1635451756
Wanning,18.8003,110.3967,76.39,92,100,9.37,CN,1635451756
Kapaa,22.0752,-159.319,80.58,88,75,4,US,1635451757
Maceió,-9.6658,-35.7353,83.64,74,40,11.5,BR,1635451757
San Felipe,10.3399,-68.7425,83.7,60,85,4.7,VE,1635451758
Kostomuksha,64.571,30.5767,39.33,99,100,12.46,RU,1635451758
George Town,5.4112,100.3354,78.73,88,40,3.44,MY,1635451758
Vanavara,60.34,102.2797,19.24,78,8,5.32,RU,1635451759
Comodoro Rivadavia,-45.8667,-67.5,85.86,9,0,13.8,AR,1635451759
Tautira,-17.7333,-149.15,78.01,83,29,10.71,PF,1635451759
Thompson,55.7435,-97.8558,46.78,77,89,7.63,CA,1635451760
Castelo do Piauí,-5.3222,-41.5525,97.41,20,90,1.54,BR,1635451760
New Norfolk,-42.7826,147.0587,47.7,78,100,5.99,AU,1635451760
Nelspruit,-25.4745,30.9703,62.83,79,98,4.74,ZA,1635451761
Muisne,0.6,-80.0333,84.31,80,81,10.45,EC,1635451761
Lucapa,-8.4192,20.7447,63.95,95,100,4.25,AO,1635451761
Leshukonskoye,64.8989,45.7622,16.92,98,59,2.84,RU,1635451762
Saint Paul Harbor,57.79,-152.4072,36.91,65,1,3.44,US,1635451762
Mar del Plata,-38.0023,-57.5575,77.02,86,0,15.99,AR,1635451752
Avera,33.194,-82.5271,63.91,97,100,12.77,US,1635451762
Bredasdorp,-34.5322,20.0403,56.28,90,35,3.58,ZA,1635451763
Ambilobe,-13.2,49.05,73.62,90,67,2.53,MG,1635451763
Puerto Ayora,-0.7393,-90.3518,78.76,88,24,4,EC,1635451763
Hobyo,5.3505,48.5268,80.06,77,2,7.72,SO,1635451554
Palmer,42.1584,-72.3287,57.72,61,20,1.99,US,1635451764
Los Llanos de Aridane,28.6585,-17.9182,67.75,86,20,9.22,ES,1635451764
Port Elizabeth,-33.918,25.5701,70.11,90,100,13.98,ZA,1635451765
Laas,46.6166,10.7002,41.36,47,7,3.18,IT,1635451765
Douentza,14.9951,-2.9517,92.16,28,100,3.65,ML,1635451765
Wałcz,53.2779,16.4712,48.11,71,11,6.93,PL,1635451766
Lüderitz,-26.6481,15.1594,58.42,91,7,5.79,NA,1635451766
Ballina,-28.8667,153.5667,70.95,93,100,8.57,AU,1635451766
San Jose,37.3394,-121.895,79.36,55,1,0,US,1635451732
Vitim,59.4511,112.5578,21.45,75,8,10.04,RU,1635451767
Huarmey,-10.0681,-78.1522,69.44,74,49,11.81,PE,1635451767
Punta Arenas,-53.15,-70.9167,62.62,51,75,19.57,CL,1635451767
Arman',59.7,150.1667,24.85,94,99,1.54,RU,1635451768
Slave Lake,55.2834,-114.769,47.35,34,0,7.36,CA,1635451768
Wewak,-3.5534,143.6268,78.4,86,67,3.67,PG,1635451769
Sona,45.4388,10.8255,52.21,81,0,5.75,IT,1635451769
Husavik,66.0449,-17.3389,40.14,97,100,18.43,IS,1635451769
Pisco,-13.7,-76.2167,69.85,68,0,14.97,PE,1635451499
Bambous Virieux,-20.3428,57.7575,75.22,75,3,10.36,MU,1635451770
Sukpak,51.6667,94.6333,32.76,78,49,1.48,RU,1635451770
Lábrea,-7.2586,-64.7981,92.39,43,93,1.97,BR,1635451771
Hermanus,-34.4187,19.2345,62.91,91,8,5.12,ZA,1635451771
Kununurra,-15.7667,128.7333,80.58,78,75,0,AU,1635451771
Esperance,-33.8667,121.9,51.64,74,90,9.35,AU,1635451772
Dossor,47.5272,52.9811,38.91,76,62,8.05,KZ,1635451772
Goderich,43.7501,-81.7165,59.92,64,100,18.19,CA,1635451526
Carnarvon,-24.8667,113.6333,62.67,67,0,20.71,AU,1635451772
Bousso,10.4795,16.7117,85.08,31,23,3.11,TD,1635451773
Selikhino,50.3672,137.4996,32.77,87,6,5.37,RU,1635451773
Oranjemund,-28.55,16.4333,60.42,81,0,6.6,NA,1635451548
Ostrovnoy,68.0531,39.5131,26.58,75,100,13.53,RU,1635451773
Severo-Kuril'sk,50.6789,156.125,41.86,89,100,7.36,RU,1635451774
Pacific Grove,36.6177,-121.9166,80.71,55,1,5.99,US,1635451774
Bilibino,68.0546,166.4372,-21.19,98,12,3.51,RU,1635451775
Qaanaaq,77.484,-69.3632,20.89,92,100,7.49,GL,1635451775
Léo,11.1,-2.1,81.88,49,19,0.54,BF,1635451579
Pathein,16.7833,94.7333,75.15,92,86,4.29,MM,1635451775
Ahipara,-35.1667,173.1667,60.71,86,13,11.56,NZ,1635451776
Banda Aceh,5.5577,95.3222,79.7,84,88,6.17,ID,1635451776
Saskylakh,71.9167,114.0833,4.39,96,100,9.6,RU,1635451776
Lompoc,34.6391,-120.4579,89.78,28,1,11.5,US,1635451777
Miyang,24.4042,103.4428,60.75,97,99,2.8,CN,1635451777
Ust'-Kan,50.9276,84.761,27.01,91,16,5.86,RU,1635451777
Ambon City,-3.6954,128.1814,80.62,80,100,2.51,ID,1635451778
Japura,-0.3167,102.35,74.41,98,100,2.08,ID,1635451778
Tuktoyaktuk,69.4541,-133.0374,27.45,83,100,5.1,CA,1635451778
Fredericksburg,38.3032,-77.4605,67.57,69,90,1.99,US,1635452017
Myitkyina,25.3833,97.4,68.63,91,54,2.53,MM,1635451779
Caravelas,-17.7125,-39.2481,77.34,63,6,7.87,BR,1635451779
Rondonópolis,-16.4708,-54.6356,90.63,47,100,0.89,BR,1635451779
Oranjestad,12.524,-70.027,87.75,66,20,24.16,AW,1635451780
Ponta do Sol,32.6667,-17.1,70.72,73,73,8.59,PT,1635451780
Ayan,56.45,138.1667,37.67,62,98,3.44,RU,1635451781
Butaritari,3.0707,172.7902,81.79,70,6,10.89,KI,1635451781
St Albans,51.75,-0.3333,57.43,86,75,12.66,GB,1635451781
Jumla,29.2747,82.1838,43.41,68,0,4.5,NP,1635451782
Imeni Poliny Osipenko,52.4201,136.4853,30.92,88,9,5.21,RU,1635451782
São João da Barra,-21.6403,-41.0511,77.09,83,77,12.57,BR,1635451782
Lingao,19.9103,109.6859,75.07,92,100,12.66,CN,1635451783
Kavaratti,10.5669,72.642,80.74,77,100,4.03,IN,1635451783
Subtanjalla,-14.0189,-75.7581,64.94,35,65,12.62,PE,1635451783
Amazar,53.858,120.875,34.48,79,100,1.97,RU,1635451784
Sawākin,19.1059,37.3321,84.56,76,9,7.63,SD,1635451784
Salinópolis,-0.6136,-47.3561,80.13,82,59,6.55,BR,1635451784
Faya,18.3851,42.4509,57.72,59,4,3.29,SA,1635451785
Long Beach,33.767,-118.1892,95.88,39,1,8.05,US,1635451630
Nome,64.5011,-165.4064,14.07,79,1,8.05,US,1635451588
Nadym,65.5333,72.5167,25,96,100,14.94,RU,1635451785
Majene,-3.5403,118.9707,78.22,86,100,3.71,ID,1635451786
Tweed,44.4751,-77.3162,52.07,72,0,10.65,CA,1635451786
Labuhan,-6.8844,112.2051,79.61,83,100,6.51,ID,1635451786
Leningradskiy,69.3833,178.4167,4.44,91,100,8.08,RU,1635451786
Katsuura,35.1333,140.3,58.19,59,74,23.15,JP,1635451787
Viseu,40.661,-7.9097,60.73,77,100,5.08,PT,1635451787
Carutapera,-1.195,-46.02,81.84,72,75,6.29,BR,1635451787
Bethel,41.3712,-73.414,58.87,68,1,5.75,US,1635451788
Pevek,69.7008,170.3133,1.72,96,100,4.65,RU,1635451788
Naze,28.3667,129.4833,66.31,63,9,6.4,JP,1635451788
Kawai,34.2333,135.85,52.95,91,0,2.24,JP,1635451789
Bouca,6.5105,18.2733,71.64,92,74,1.74,CF,1635451693
Tegul'det,57.3064,88.1667,31.55,53,100,10.16,RU,1635451789
San Quintín,30.4833,-115.95,76.06,36,0,6.73,MX,1635451790
Faanui,-16.4833,-151.75,78.8,79,53,7.76,PF,1635451790
São Filipe,14.8961,-24.4956,78.75,79,100,15.19,CV,1635451790
Nizhniy Baskunchak,48.2198,46.8311,45.57,73,100,7.31,RU,1635451791
La Sarre,48.8002,-79.1996,53.04,43,0,8.66,CA,1635451791
Solnechnyy,50.7214,136.6319,31.78,86,3,3.13,RU,1635451791
Adeje,28.1227,-16.726,70.88,65,40,12.66,ES,1635451792
Coquimbo,-29.9533,-71.3436,58.73,82,75,11.5,CL,1635451627
Katherine,-14.4667,132.2667,80.92,78,73,3.44,AU,1635451792
Ossora,59.2353,163.0719,18.07,94,72,4.74,RU,1635451793
Ilulissat,69.2167,-51.1,24.82,68,75,6.91,GL,1635451793
Cap Malheureux,-19.9842,57.6142,75.47,72,16,8.01,MU,1635451560
Tura,25.5198,90.2201,66.7,91,0,3.83,IN,1635451557
Berlevåg,70.8578,29.0864,30.15,86,75,18.41,NO,1635451794
Sitka,57.0531,-135.33,42.69,75,40,5.75,US,1635451794
Atlantic City,39.3643,-74.4229,65.3,77,90,9.22,US,1635451655
Mareeba,-17,145.4333,66.92,96,40,2.71,AU,1635451794
Padang,-0.9492,100.3543,78.4,80,100,2.91,ID,1635451795
Thohoyandou,-22.9456,30.485,62.04,74,8,1.74,ZA,1635451795
Yavaros,26.7,-109.5167,93.45,27,0,7.27,MX,1635451795
Iznoski,54.9881,35.3108,39.56,94,52,3.78,RU,1635451796
Dingli,35.8614,14.3822,60.96,94,75,19.57,MT,1635451796
Katobu,-4.9408,122.5276,75.47,92,96,2.57,ID,1635451796
Abalak,58.1286,68.5944,34,92,100,12.35,RU,1635451797
Chiojdu,45.35,26.2,38.48,61,72,3.36,RO,1635451797
Mitú,1.1983,-70.1733,76.21,83,99,1.12,CO,1635451798
Andros Town,24.7,-77.7667,89.56,63,100,15.59,BS,1635451798
Kysyl-Syr,63.8986,122.7617,20.26,85,99,11.61,RU,1635451798
Roberval,48.5168,-72.2324,46.6,61,0,0.63,CA,1635451798
Gourcy,13.2167,-2.35,87.44,37,98,5.12,BF,1635451799
Bairiki Village,1.3292,172.9752,84.2,70,20,8.05,KI,1635451799
Ambovombe,-25.1667,46.0833,65.25,70,65,16.2,MG,1635451800
Tulagi,-9.0996,160.1476,82.76,74,37,7.29,SB,1635451800
Souillac,-20.5167,57.5167,75.36,78,0,5.53,MU,1635451801
Forsytheganj,52.6333,29.7333,49.8,96,99,5.03,BY,1635451801
Half Moon Bay,37.4636,-122.4286,78.22,58,1,12.66,US,1635451802
Ode,7.7899,5.7117,72.84,88,97,3.51,NG,1635451803
Henties Bay,-22.116,14.2845,61.86,86,16,6.98,NA,1635451804
Mehamn,71.0357,27.8492,30.11,95,100,20.33,NO,1635451804
Lorengau,-2.0226,147.2712,81.48,77,97,5.55,PG,1635451805
Bukoba,-1.3317,31.8122,72.21,65,82,3.49,TZ,1635451806
Itarema,-2.9248,-39.9167,82.13,69,3,16.33,BR,1635451806
Marolambo,-20.05,48.1167,62.02,92,100,3.83,MG,1635451807
Tchibanga,-2.85,11.0333,72.16,98,48,2.93,GA,1635451808
Kibaha,-6.7667,38.9167,73.45,86,1,5.88,TZ,1635451808
Kollam,8.8833,76.6,76.87,87,99,4.14,IN,1635451809
Toropets,56.4978,31.6353,41.97,90,100,5.3,RU,1635451809
Djambala,-2.5447,14.7533,70.3,80,7,1.12,CG,1635451810
Puerto Colombia,10.9878,-74.9547,84.45,69,100,6.76,CO,1635451810
Black Diamond,47.3087,-122.0032,62.49,89,100,1.99,US,1635451811
Erzurum Province,40,41.5,33.48,40,100,3.44,TR,1635451811
Bakchar,57.0186,82.0711,33.75,53,100,13.62,RU,1635451811
Yaan,7.3833,8.5667,77.27,79,37,3.22,NG,1635451812
Samarai,-10.6167,150.6667,82.06,81,28,10.71,PG,1635451812
Kazachinskoye,57.6953,93.2761,28.71,64,98,4.9,RU,1635451812
Alice Springs,-23.7,133.8833,74.75,22,60,11.5,AU,1635451813
Olafsvik,64.8945,-23.7142,41.61,91,78,31.45,IS,1635451813
Santoña,43.4439,-3.4576,71.92,44,100,10.2,ES,1635451814
Tinskoy,56.1525,96.9161,25.2,62,29,3.69,RU,1635451814
Saint George,37.1041,-113.5841,73.63,36,1,1.01,US,1635451815
Yumen,40.2833,97.2,37.51,41,27,1.88,CN,1635451815
Guerrero Negro,27.9769,-114.0611,83.28,23,0,4.54,MX,1635451816
Torbay,47.6666,-52.7314,39.58,91,90,13.8,CA,1635451769
La Rioja,42.25,-2.5,53.04,46,100,8.25,ES,1635451816
Miyako,39.6367,141.9525,47.95,72,1,7.9,JP,1635451816
Bambanglipuro,-7.95,110.2833,77.52,90,100,4.34,ID,1635451817
Alihe,50.5667,123.7167,33.91,68,8,1.43,CN,1635451817
Dovbysh,50.3733,27.9874,50.67,82,100,4.56,UA,1635451818
Ormara,25.2088,64.6357,78.73,62,0,7.16,PK,1635451818
Okhotsk,59.3833,143.3,22.53,93,60,6.38,RU,1635451818
Marawi,7.9986,124.2928,66.65,94,27,1.81,PH,1635451819
Cayenne,4.9333,-52.3333,86.04,74,0,4,GF,1635451819
Gold Coast,-28,153.4333,75,88,96,4,AU,1635451819
Cherskiy,68.75,161.3,-14.58,92,84,3.87,RU,1635451820
San Patricio,28.017,-97.5169,86.94,15,0,19.42,US,1635451820
Capreol,46.706,-80.9225,54.55,59,98,8.01,CA,1635451820
Batagay-Alyta,67.8006,130.4114,4.55,87,99,3.53,RU,1635451821
Havelock,34.8791,-76.9013,69.78,78,100,3,US,1635451821
Fairbanks,64.8378,-147.7164,24.76,90,90,3.44,US,1635451723
Shumikha,55.2261,63.2961,34.9,76,95,15.35,RU,1635451821
Whyalla,-33.0333,137.5833,57.09,77,75,16.11,AU,1635451822
Lobatse,-25.2167,25.6667,58.78,85,46,4.12,BW,1635451822
Fortuna,40.5982,-124.1573,72.93,68,1,3,US,1635451822
Umluj,25.0213,37.2685,81.7,54,0,3.69,SA,1635451823
Portland,45.5234,-122.6762,69.91,84,90,1.99,US,1635451769
Bay Roberts,47.5999,-53.2648,40.33,86,100,15.99,CA,1635451823
Iskateley,67.6803,53.1512,19.35,79,10,10.54,RU,1635451824
Sarankhola,22.3082,89.7897,73.09,85,100,5.1,BD,1635451824
Port Lincoln,-34.7333,135.8667,54.27,69,64,15.61,AU,1635451824
Agadez,19.75,10.25,82.62,13,80,7.63,NE,1635451824
Ust'-Ilimsk,58.0006,102.6619,20.8,83,12,4.38,RU,1635451573
Nioro,13.35,-15.75,77.77,72,100,3.62,GM,1635451825
Jiangyou,31.7667,104.7167,57.34,85,100,2.93,CN,1635451825
Port Hardy,50.6996,-127.4199,47.21,87,100,1.86,CA,1635451826
Altamirano,16.8833,-92.15,71.65,69,18,4.61,MX,1635451826
Cockburn Town,21.4612,-71.1419,82.63,67,1,1.99,TC,1635451826
Sonoita,31.85,-112.8333,83.53,11,0,15.7,MX,1635451827
Aktobe,50.2797,57.2072,37.49,65,75,13.42,KZ,1635451827
Bosaso,11.2842,49.1816,79.72,62,0,6.22,SO,1635451827
Burnie,-41.0667,145.9167,55.94,78,100,23.24,AU,1635451828
Lumphat,13.4878,106.9816,71.17,98,34,3.38,KH,1635451828
Carinhanha,-14.3047,-43.765,92.01,26,84,7.14,BR,1635451828
Charters Towers,-20.1,146.2667,68.02,92,7,7.14,AU,1635451829
Nouadhibou,20.931,-17.0347,68.65,76,6,18.1,MR,1635451829
Isangel,-19.55,169.2667,77.32,83,37,10.45,VU,1635451568
Praia da Vitória,38.7333,-27.0667,68.76,90,100,10.09,PT,1635451830
Oktyabr'skoye,43.0645,44.7417,32.14,86,0,8.95,RU,1635451830
Buguda,19.8167,84.8,72.25,83,100,3.02,IN,1635451831
Makakilo City,21.3469,-158.0858,79.61,69,90,8.05,US,1635451831
Honiara,-9.4333,159.95,79.43,81,20,4.54,SB,1635451831
Waddān,29.1614,16.139,71.98,41,99,9.8,LY,1635451832
Kumul,42.8,93.45,48.97,35,29,4.97,CN,1635451832
Causapscal,48.3542,-67.227,45.95,70,36,4.23,CA,1635451832
Dikson,73.5069,80.5464,8.19,92,100,9.82,RU,1635451833
Navahrudak,53.6,25.8333,47.68,91,58,5.75,BY,1635451833
Gweru,-19.45,29.8167,59,73,4,13.53,ZW,1635451833
Ngunguru,-35.6167,174.5,61.16,85,12,8.46,NZ,1635451834
Sarāhan,31.5167,77.8,45.07,38,0,7.58,IN,1635451834
Champerico,14.3,-91.9167,86.36,75,17,8.57,GT,1635451834
Dangtu,31.5723,118.4928,56.21,75,79,4.9,CN,1635451835
Tsabong,-26.0217,22.401,66.7,81,97,22.12,BW,1635451835
Yulara,-25.2406,130.9889,59.65,29,85,10.02,AU,1635451835
Ponta Delgada,37.7333,-25.6667,66.92,88,75,11.5,PT,1635451836
Acajutla,13.5928,-89.8275,83.59,76,29,6.17,SV,1635451836
Turaif,31.6725,38.6637,67.98,30,95,7.56,SA,1635451836
Najrān,17.4924,44.1277,66.27,24,3,3.18,SA,1635451836
Kudahuvadhoo,2.6708,72.8944,81.37,77,55,9.86,MV,1635451837
Kamaishi,39.2667,141.8833,47.23,75,0,5.1,JP,1635451837
Ust-Kuyga,70.0167,135.6,9.75,97,100,1.59,RU,1635451838
Dingle,10.9995,122.6711,74.84,92,85,6.87,PH,1635451838
Praia,14.9215,-23.5087,75.74,94,75,9.22,CV,1635451838
Pacifica,37.6138,-122.4869,77.74,62,1,12.66,US,1635451839
Bozhou,33.8772,115.7703,57.52,75,6,5.5,CN,1635451839
Tunceli,39.1083,39.5471,50.86,46,100,3.71,TR,1635451576
Cortez,37.3489,-108.5859,61.41,38,1,16.11,US,1635451839
Pirovskoye,57.6267,92.2658,29.82,58,100,7.25,RU,1635451840
Paamiut,61.994,-49.6678,33.53,71,100,19.1,GL,1635451840
Kiama,-34.6833,150.8667,66,74,86,8.93,AU,1635451573
San Juan,-31.5375,-68.5364,98.08,10,69,7.65,AR,1635451841
Boa Vista,2.8197,-60.6733,93.18,43,20,4.61,BR,1635451820
Asău,46.4333,26.4,48.76,74,14,2.66,RO,1635451841
Grafton,42.207,-71.6856,51.62,70,90,1.01,US,1635451841
Korla,41.7597,86.1469,48.18,42,63,2.1,CN,1635451842
Cadillac,44.2519,-85.4012,60.08,38,1,13.8,US,1635451842
Tiksi,71.6872,128.8694,11.35,97,100,4.65,RU,1635451842
Sédhiou,12.7081,-15.5569,73.96,88,62,2.93,SN,1635451843
Kathmandu,27.7167,85.3167,54.9,89,0,0.74,NP,1635451843
Necochea,-38.5473,-58.7368,84.2,48,90,10.69,AR,1635451843
Saint-Joseph,-21.3667,55.6167,71.98,79,1,2.84,RE,1635451844
Weinan,34.5036,109.5089,58.08,73,100,3.42,CN,1635451844
Staryy Nadym,65.6118,72.6842,24.78,96,100,15.64,RU,1635451845
Whitehorse,60.7161,-135.0538,37.02,55,62,8.01,CA,1635451845
Havre-St-Pierre,50.2334,-63.5986,49.44,53,0,2.15,CA,1635451846
Casablanca,33.5928,-7.6192,68.22,77,3,4.25,MA,1635451691
Marystown,47.1666,-55.1483,43.86,100,100,8.01,CA,1635451847
Victor Harbor,-35.5667,138.6167,55.49,96,98,4,AU,1635451847
Roebourne,-20.7833,117.1333,72.32,45,1,10.4,AU,1635451847
Northam,51.0333,-4.2167,59.41,95,100,9.55,GB,1635451848
St. George's,12.0564,-61.7485,81.45,75,87,11.81,GD,1635451848
Mahajanga,-15.7167,46.3167,78.82,61,20,8.05,MG,1635451848
Kupang,-10.1667,123.5833,80.2,82,91,5.08,ID,1635451849
Mayo,38.8876,-76.5119,68.2,71,1,1.99,US,1635451849
Hellín,38.5106,-1.701,58.78,70,78,5.39,ES,1635451736
Roald,62.5833,6.1333,54.34,93,90,5.75,NO,1635451849
Namatanai,-3.6667,152.4333,80.65,78,93,6.33,PG,1635451850
Mount Gambier,-37.8333,140.7667,47.1,88,100,13.49,AU,1635451850
Vila Velha,-20.3297,-40.2925,78.75,69,20,9.22,BR,1635451627
Alta,69.9689,23.2717,33.06,75,0,12.66,NO,1635451850
Mahébourg,-20.4081,57.7,75.25,76,4,9.86,MU,1635451851
Morón,-34.6534,-58.6198,93.94,40,100,12.17,AR,1635451851
Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,100,75,8.95,RU,1635451851
Maragogi,-9.0122,-35.2225,78.37,75,100,9.28,BR,1635451852
Prince Rupert,54.3161,-130.3201,45.01,69,64,2.17,CA,1635451852
Oistins,13.0667,-59.5333,84.29,65,40,11.5,BB,1635451813
Carlton,45.2943,-123.1765,69.91,82,40,10,US,1635451852
Longyearbyen,78.2186,15.6401,15.64,79,0,5.75,SJ,1635451853
Qasigiannguit,68.8193,-51.1922,25.05,86,100,6.13,GL,1635451574
Kīhei,20.785,-156.4656,82.42,75,40,19.57,US,1635451758
Walvis Bay,-22.9575,14.5053,62.1,77,81,12.8,NA,1635451853
Clyde River,70.4692,-68.5914,29.79,94,100,3.44,CA,1635451854
Dakar,14.6937,-17.4441,83.28,75,100,12.95,SN,1635451720
Belmonte,-15.8631,-38.8828,77.5,75,7,11.1,BR,1635451854
Abu Dhabi,24.4667,54.3667,82.6,66,93,14.14,AE,1635451855
Saint Anthony,45.0205,-93.218,49.3,92,90,1.01,US,1635451855
Rypefjord,70.6333,23.6667,36.07,75,75,12.66,NO,1635451855
Sembakung,3.8167,117.25,73.31,99,92,1.7,ID,1635451856
Coyhaique,-45.5752,-72.0662,64.35,36,75,10.36,CL,1635451850
Riyadh,24.6877,46.7219,82.54,16,98,7.7,SA,1635451856
Luwuk,-0.9516,122.7875,77.86,82,50,1.83,ID,1635451856
Lázaro Cárdenas,17.9583,-102.2,84.51,69,4,5.7,MX,1635451759
Torit,4.4133,32.5678,77.58,58,23,1.88,SS,1635451857
Sibolga,1.7427,98.7792,77.22,79,100,3.49,ID,1635451857
Erenhot,43.6475,111.9767,45.18,42,100,10.65,CN,1635451857
Camden,39.7835,-74.9663,66,68,79,1.01,US,1635451858
Gijang,35.2442,129.2139,60.33,58,56,15.97,KR,1635451858
Shawville,45.6001,-76.4827,50.54,58,0,8.3,CA,1635451859
Gunjur,13.2019,-16.7339,79.97,69,99,8.3,GM,1635451859
Kahului,20.8947,-156.47,82.42,75,40,19.57,US,1635451613
Lufilufi,-13.8745,-171.5986,79.79,74,67,21.32,WS,1635451859
Shimoda,34.6667,138.95,52.11,63,0,17,JP,1635451860
Matara,5.9485,80.5353,76.15,92,100,5.32,LK,1635451860
Parkes,-33.1333,148.1833,69.35,50,100,14.9,AU,1635451861
Pulandian,39.3953,121.9669,48.33,67,100,2.71,CN,1635451861
Tazovsky,67.4667,78.7,13.75,91,100,19.55,RU,1635451862
Halifax,44.6453,-63.5724,50.47,72,100,5.99,CA,1635451747
Laje,-10.1833,-40.9667,86.67,29,41,12.28,BR,1635451863
Yanam,16.7333,82.2167,77.05,89,100,7.74,IN,1635451863
Berdigestyakh,62.0989,126.6992,20.19,85,96,9.69,RU,1635451863
Prieska,-29.6641,22.7474,65.19,77,56,9.31,ZA,1635451864
Pemangkat,1.1667,108.9667,77.56,85,100,3.76,ID,1635451864
Tromsø,69.6496,18.957,45.25,87,75,1.99,NO,1635451864
